ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,P-P46,Outerinho,39.78820,-8.37450,275
P-P46,Outerinho,,,,,39.78820,-8.37450,275
,,,,.,,39.79462,-8.37639,294
,,,,P-P47,Feteiras,39.80100,-8.37270,285
P-P47,Feteiras,,,,,39.80100,-8.37270,285
,,,,P-P48,Farroeira,39.81090,-8.37370,307
P-P48,Farroeira,,,,,39.81090,-8.37370,307
,,,,.,,39.81223,-8.37847,290
,,,,P-P49,Alvaiázere,39.82550,-8.38140,318
P-P49,Alvaiázere,,,,,39.82550,-8.38140,318
,,,,P-P50,Laranjeiras,39.84310,-8.39410,356
P-P50,Laranjeiras,,,,,39.84310,-8.39410,356
,,,,P-P51,Vendas,39.84990,-8.40180,452
P-P51,Vendas,,,,,39.84990,-8.40180,452
,,,,P-P52,Venda do Negro,39.86880,-8.42030,345
P-P52,Venda do Negro,,,,,39.86880,-8.42030,345
,,,,P-P53,Casal Soeiro,39.88980,-8.41890,357
P-P53,Casal Soeiro,,,,,39.88980,-8.41890,357
,,,,P-P54,Empeados,39.89930,-8.42610,288
P-P54,Empeados,,,,,39.89930,-8.42610,288
,,,,P-P55,Ansião,39.91080,-8.43830,203
P-P55,Ansião,,,,,39.91080,-8.43830,203
,,,,P-P56,Netos,39.93964,-8.43689,251
P-P56,Netos,,,,,39.93964,-8.43689,251
,,,,P-P57,Venda do Brasil,39.95291,-8.45365,278
P-P57,Venda do Brasil,,,,,39.95291,-8.45365,278
,,,,P-P58,Casais da Granja,39.95409,-8.45848,267
P-P58,Casais da Granja,,,,,39.95409,-8.45848,267
,,,,P-P59,Junqueira,39.96713,-8.45559,257
P-P59,Junqueira,,,,,39.96713,-8.45559,257
,,,,P-P60,Alvorge,39.97881,-8.45580,294
P-P60,Alvorge,,,,,39.97881,-8.45580,294
,,,,P-P61,Ribeira de Alcalamouque,40.01172,-8.45301,200
P-P61,Ribeira de Alcalamouque,,,,,40.01172,-8.45301,200
,,,,.,,40.01448,-8.45040,189
,,,,.,,40.02789,-8.44461,179
,,,,P-P62,Rabaçal,40.02915,-8.45484,187
P-P62,Rabaçal,,,,,40.02915,-8.45484,187
,,P-P62-1,Villa Romana do Rabaçal,,,40.03836,-8.45767,180
,,,,P-P63,Zambujal,40.05548,-8.44599,173
P-P63,Zambujal,,,,,40.05548,-8.44599,173
,,P-P63-1,Refugio Peregrino Nicolau,,,40.06773,-8.46059,157
,,,,P-P64,Fonte Coberta,40.06932,-8.46211,150
P-P64,Fonte Coberta,,,,,40.06932,-8.46211,150
,,,,P-P65,Poço,40.07838,-8.47808,154
P-P65,Poço,,,,,40.07838,-8.47808,154
,,,,P-P66,Conímbriga,40.09850,-8.49157,114
P-P66,Conímbriga,,,,,40.09850,-8.49157,114
,,P-P66-1,Museu Monográfico de Conímbriga,,,40.09835,-8.49050,115
,,,,P-P67,Valada (Condeixa-a-Nova),40.10541,-8.48771,122
P-P67,Valada (Condeixa-a-Nova),,,,,40.10541,-8.48771,122
