ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
BM-38,Harbour Bridge (South),,,,,-33.85868,151.20682,27
,,,,.,,-33.85584,151.20851,16
,,,,BM-39,Harbour Bridge (North),-33.84626,151.21274,36
BM-39,Harbour Bridge (North),,,,,-33.84626,151.21274,36
,,,,BM-40,Milsons Point,-33.84989,151.21159,8
BM-40,Milsons Point,,,,,-33.84989,151.21159,8
,,,,BM-41,Kirribilli,-33.85094,151.21980,4
BM-41,Kirribilli,,,,,-33.85094,151.21980,4
,,,,BM-42,Milson Park,-33.84453,151.21529,5
BM-42,Milson Park,,,,,-33.84453,151.21529,5
,,,,BM-43,Kesterton Park,-33.84500,151.21860,5
BM-43,Kesterton Park,,,,,-33.84500,151.21860,5
,,,,.,,-33.84256,151.21418,20
,,,,BM-44,Anderson Park,-33.84034,151.21604,6
BM-44,Anderson Park,,,,,-33.84034,151.21604,6
,,,,BM-45,Neutral Bay,-33.84099,151.21896,16
BM-45,Neutral Bay,,,,,-33.84099,151.21896,16
,,BM-45-1,Hayes Street Beach,,,-33.84158,151.21937,5
,,,,BM-46,Shellcove Beach,-33.83890,151.22496,24
BM-46,Shellcove Beach,,,,,-33.83890,151.22496,24
,,BM-46-1,Nutcote,,,-33.84183,151.22168,24
,,,,BM-47,Cremorne Point,-33.84865,151.23295,5
BM-47,Cremorne Point,,,,,-33.84865,151.23295,5
,,BM-47-1,Robertson's Point Lighthouse,,,-33.84872,151.23301,4
,,,,BM-48,Mossman Bay,-33.83838,151.23281,5
BM-48,Mossman Bay,,,,,-33.83838,151.23281,5
,,,,BM-49,South Mossman,-33.84333,151.23379,34
BM-49,South Mossman,,,,,-33.84333,151.23379,34
,,,,BM-50,Sirius Cove,-33.83934,151.23704,6
BM-50,Sirius Cove,,,,,-33.83934,151.23704,6
,,BM-50-1,Sirius Cove Beach,,,-33.83953,151.23668,5
,,,,BM-51,Taronga Zoo,-33.84576,151.23990,8
BM-51,Taronga Zoo,,,,,-33.84576,151.23990,8
,,BM-51-1,Taronga Zoo,,,-33.84328,151.24138,63
,,,,BM-52,Bradleys Head,-33.85303,151.24633,16
BM-52,Bradleys Head,,,,,-33.85303,151.24633,16
,,BM-52-1,Rifle Wall,,,-33.85212,151.24577,35
,,,,BM-53,Taylors Bay,-33.84237,151.24594,26
BM-53,Taylors Bay,,,,,-33.84237,151.24594,26
,,,,.,,-33.84273,151.24931,13
,,,,BM-54,Chowder Head,-33.84355,151.25241,29
BM-54,Chowder Head,,,,,-33.84355,151.25241,29
,,,,.,,-33.83989,151.25208,6
,,,,BM-55,Chowder Bay,-33.83834,151.25611,21
BM-55,Chowder Bay,,,,,-33.83834,151.25611,21
,,BM-55-1,Georges Head Lookout,,,-33.83655,151.25887,74
,,,,BM-56,HMAS Penguin,-33.83126,151.25835,72
BM-56,HMAS Penguin,,,,,-33.83126,151.25835,72
,,,,BM-57,Middle Head – Gubbuh Gubbuh,-33.82737,151.26825,35
BM-57,Middle Head – Gubbuh Gubbuh,,,,,-33.82737,151.26825,35
,,,,BM-58,HMAS Penguin (Return),-33.83124,151.25828,72
BM-58,HMAS Penguin (Return),,,,,-33.83124,151.25828,72
,,,,BM-59,Balmoral,-33.82791,151.25286,6
BM-59,Balmoral,,,,,-33.82791,151.25286,6
,,BM-59-1,Balmoral Beach,,,-33.82576,151.25158,5
,,BM-59-2,Edwards Beach,,,-33.82304,151.25277,8
,,,,BM-60,Wyargine Point,-33.81640,151.25141,37
BM-60,Wyargine Point,,,,,-33.81640,151.25141,37
,,,,BM-61,Parriwi,-33.81305,151.24591,50
BM-61,Parriwi,,,,,-33.81305,151.24591,50
,,,,BM-62,The Spit,-33.80401,151.24614,4
BM-62,The Spit,,,,,-33.80401,151.24614,4
,,BM-62-1,Spit Bridge,,,-33.80255,151.24619,1
,,,,.,,-33.80117,151.24647,15
,,,,.,,-33.80139,151.24889,16
,,,,.,,-33.80000,151.24964,20
,,,,BM-63,Shell Cove Bay,-33.80000,151.25105,15
BM-63,Shell Cove Bay,,,,,-33.80000,151.25105,15
,,,,BM-64,Sandy Bay,-33.80455,151.25296,3
BM-64,Sandy Bay,,,,,-33.80455,151.25296,3
,,,,BM-65,Castle Rock,-33.81141,151.25932,17
BM-65,Castle Rock,,,,,-33.81141,151.25932,17
,,,,BM-66,Grotto Point,-33.81345,151.26176,52
BM-66,Grotto Point,,,,,-33.81345,151.26176,52
,,BM-66-1,Rock Art,,,-33.81342,151.26294,64
,,,,.,,-33.81289,151.26337,77
,,,,.,,-33.81009,151.26756,87
,,,,BM-67,Dobroyd Head,-33.81053,151.27341,42
BM-67,Dobroyd Head,,,,,-33.81053,151.27341,42
,,,,BM-68,Wellings Reserve,-33.80055,151.26568,18
BM-68,Wellings Reserve,,,,,-33.80055,151.26568,18
,,,,.,,-33.79921,151.26531,0
,,,,BM-69,Fairlight,-33.79721,151.26837,19
BM-69,Fairlight,,,,,-33.79721,151.26837,19
,,,,BM-70,Manly,-33.79948,151.28433,5
BM-70,Manly,,,,,-33.79948,151.28433,5
,,,,BM-71,Little Manly Point,-33.80918,151.28706,7
BM-71,Little Manly Point,,,,,-33.80918,151.28706,7
,,,,BM-72,Spring Cove,-33.80839,151.29159,2
BM-72,Spring Cove,,,,,-33.80839,151.29159,2
,,,,BM-73,Scenic Drive,-33.80703,151.29635,71
BM-73,Scenic Drive,,,,,-33.80703,151.29635,71
,,,,BM-74,The Barracks,-33.81130,151.29760,86
BM-74,The Barracks,,,,,-33.81130,151.29760,86
,,,,BM-75,Third Quarantine Cemetary,-33.81725,151.29470,94
BM-75,Third Quarantine Cemetary,,,,,-33.81725,151.29470,94
,,,,BM-76,North Head,-33.82107,151.29957,76
BM-76,North Head,,,,,-33.82107,151.29957,76
,,,,BM-77,North Head West,-33.82296,151.29863,40
BM-77,North Head West,,,,,-33.82296,151.29863,40
