ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
MD-MD27,Castromonte,,,,,41.77236,-5.03843,843
,,,,MD-MD28,Valverde de Campos,41.83442,-5.03764,771
MD-MD28,Valverde de Campos,,,,,41.83442,-5.03764,771
,,,,.,,41.87553,-5.04881,731
,,,,MD-MD29,Medina de Rioseco,41.88370,-5.04178,745
MD-MD29,Medina de Rioseco,,,,,41.88370,-5.04178,745
,,MD-MD29-1,Fábrica de harinas San Antonio,,,41.88668,-5.04634,742
,,,,.,,41.91998,-5.03793,740
,,,,.,,41.93802,-5.01984,741
,,,,MD-MD30,Tamariz de Campos,41.97657,-5.02470,751
,,,,MD-BM1,Berrueces,41.94575,-5.09664,770
MD-MD30,Tamariz de Campos,,,,,41.97657,-5.02470,751
,,,,MD-MD31,Cuenca de Campos,42.05929,-5.05571,775
MD-MD31,Cuenca de Campos,,,,,42.05929,-5.05571,775
,,,,MD-MD32,Villalón de Campos,42.09900,-5.03487,787
MD-MD32,Villalón de Campos,,,,,42.09900,-5.03487,787
,,MD-MD32-1,Rollo Jurisdiccional,,,42.09849,-5.03467,790
,,,,.,,42.14091,-5.05894,830
,,,,MD-MD33,Fontihoyuelo,42.16220,-5.05933,811
MD-MD33,Fontihoyuelo,,,,,42.16220,-5.05933,811
,,,,MD-MD34,Santervás de Campos,42.21787,-5.10147,765
MD-MD34,Santervás de Campos,,,,,42.21787,-5.10147,765
,,,,MD-MD35,Arenillas de Valderaduey,42.27957,-5.05957,773
MD-MD35,Arenillas de Valderaduey,,,,,42.27957,-5.05957,773
,,,,MD-MD36,Grajal de Campos,42.32106,-5.02034,805
MD-MD36,Grajal de Campos,,,,,42.32106,-5.02034,805
,,MD-MD36-1,Castillo de Grajal de Campos,,,42.32209,-5.02092,800
,,MD-MD36-2,Palacio de los Condes de Grajal,,,42.32145,-5.01963,805
,,,,.,,42.36217,-5.03146,839
,,,,F-F106,Placeholder for F-F106,0.00000,0.00000,--
MD-V1,Valsaín,,,,,40.87868,-4.02677,1193
,,,,MD-V2,La Granja de San Ildefonso,40.90062,-4.00980,1164
MD-V2,La Granja de San Ildefonso,,,,,40.90062,-4.00980,1164
,,MD-V2-1,Palacia Real de La Granja de San Ildenfonso,,,40.89789,-4.00476,1192
,,MD-V2-2,Real Fábrica de Cristales de La Granja,,,40.90285,-4.00716,1154
,,,,MD-MD9,Segovia,40.95017,-4.12375,1005
MD-VD1,Valladolid,,,,,41.65367,-4.72367,692
,,MD-V2-1,Catedral de Nuestra Señora de la Asunción,,,41.65328,-4.72349,--
,,,,MD-MD23,Simancas,41.59080,-4.82657,713
MD-SE1,Monasterio de la Santa Espina,,,,,41.73171,-5.09996,794
,,MD-SE1-1,Monasterio de la Santa Espina,,,41.73269,-5.09920,794
,,,,.,,41.73583,-5.09393,830
,,,,.,,41.73852,-5.09084,838
,,,,.,,41.74512,-5.06355,842
,,,,MD-MD27,Castromonte,41.77236,-5.03843,843
MD-BM1,Berrueces,,,,,41.94575,-5.09664,770
,,,,MD-BM2,Moral de la Reina,41.98556,-5.07127,765
MD-BM2,Moral de la Reina,,,,,41.98556,-5.07127,765
,,,,MD-MD31,Cuenca de Campos,42.05929,-5.05571,775
