ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,N-N31,Zamudio,43.28490,-2.86614,49
N-N31,Zamudio,,,,,43.28490,-2.86614,49
,,N-N31-1,Vending Machine,,,43.27096,-2.87336,238
,,,,.,,43.27557,-2.86704,102
,,,,.,,43.27047,-2.87330,246
,,,,.,,43.26983,-2.88741,323
,,,,.,,43.26879,-2.89918,282
,,,,.,,43.26148,-2.91548,72
,,,,N-N32,Bilbao,43.25725,-2.92299,16
N-N32,Bilbao,,,,,43.25725,-2.92299,16
,,N-N32-1,Cathedral of Santiago,,,43.25755,-2.92385,15
,,N-N32-2,Basilica of Begoña,,,43.25893,-2.91374,88
,,N-N32-3,Guggenheim Museum,,,43.26872,-2.93400,6
,,N-N32-4,Museum of Fine Arts,,,43.26604,-2.93787,14
,,,,.,,43.26010,-2.95455,52
,,,,.,,43.25722,-2.95644,108
,,,,.,,43.25543,-2.97126,23
,,,,.,,43.25756,-2.98074,183
,,,,N-N33,Barakaldo,43.29385,-2.99120,23
,,,,N-N35,Las Arenas (Gexto),43.32359,-3.01616,4
N-N33,Barakaldo,,,,,43.29385,-2.99120,23
,,N-N33-1,Hard Climb,,,43.25675,-2.97536,80
,,,,.,,43.29428,-2.99659,33
,,,,.,,43.29859,-2.99976,14
,,,,.,,43.30360,-2.99072,4
,,,,.,,43.30753,-2.99297,9
,,,,N-N34,Sestao,43.30966,-3.00738,62
N-N34,Sestao,,,,,43.30966,-3.00738,62
,,N-N33-1,Hard Climb,,,43.25675,-2.97536,80
,,,,N-N36,Portugalete,43.32064,-3.02030,36
N-N35,Las Arenas (Gexto),,,,,43.32359,-3.01616,4
,,,,N-N36,Portugalete,43.32064,-3.02030,36
N-N36,Portugalete,,,,,43.32064,-3.02030,36
,,N-N36-1,Bizkaia Bridge,,,43.32345,-3.01716,1
,,,,N-N37,Pobeña (Muskiz),43.34680,-3.12261,9
N-N37,Pobeña (Muskiz),,,,,43.34680,-3.12261,9
,,N-N37-1,La Arena Beach,,,43.34691,-3.11963,3
,,,,N-N38,Ontón,43.35097,-3.17256,16
N-N38,Ontón,,,,,43.35097,-3.17256,16
,,N-N37-1,Road route to Mioño,,,43.34691,-3.11963,3
,,,,N-N39,Baltezana,43.34172,-3.17155,71
,,,,.,,43.35514,-3.17651,75
,,,,.,,43.35372,-3.18225,131
,,,,.,,43.35891,-3.18572,167
,,,,.,,43.36128,-3.18896,135
,,,,.,,43.36244,-3.18602,113
,,,,.,,43.36162,-3.18772,115
,,,,.,,43.36358,-3.19054,68
,,,,N-RC1,Mioño,43.35962,-3.20266,20
N-N39,Baltezana,,,,,43.34172,-3.17155,71
,,,,.,,43.32834,-3.17458,250
,,,,.,,43.32119,-3.17983,179
,,,,N-N40,Otañes,43.33099,-3.19053,113
N-N40,Otañes,,,,,43.33099,-3.19053,113
,,,,N-N41,Santullán,43.34637,-3.21007,72
N-N41,Santullán,,,,,43.34637,-3.21007,72
,,,,N-N42,Sámano,43.35654,-3.22963,41
N-N42,Sámano,,,,,43.35654,-3.22963,41
,,,,N-N43,Castro Urdiales,43.38196,-3.21875,8
N-N43,Castro Urdiales,,,,,43.38196,-3.21875,8
,,N-N43-1,Church of Santa María de la Asunción,,,43.38477,-3.21581,7
,,,,N-N44,Allendelagua,43.39603,-3.24766,52
N-N44,Allendelagua,,,,,43.39603,-3.24766,52
,,N-N44-1,Ruins of the Castle of St Anthony,,,43.38987,-3.24837,207
,,,,N-N45,Cerdigo,43.39964,-3.26605,60
N-N45,Cerdigo,,,,,43.39964,-3.26605,60
