ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,FI-M15,Lires,42.99809,-9.24338,44
FI-M15,Lires,,,,,42.99809,-9.24338,44
,,FI-M15-1,Coastal Route,,,42.99691,-9.24468,21
,,,,FI-M16,A Canosa,42.98688,-9.24798,58
FI-M16,A Canosa,,,,,42.98688,-9.24798,58
,,,,.,,42.98521,-9.24620,42
,,,,.,,42.97767,-9.24573,113
,,,,FI-M17,Padris,42.97227,-9.25128,86
FI-M17,Padris,,,,,42.97227,-9.25128,86
,,,,FI-M18,Buxán,42.95631,-9.26259,89
FI-M18,Buxán,,,,,42.95631,-9.26259,89
,,,,FI-M19,San Salvador,42.93346,-9.26924,32
FI-M19,San Salvador,,,,,42.93346,-9.26924,32
,,,,FI-M20,San Martiño de Duio,42.92022,-9.27127,66
FI-M20,San Martiño de Duio,,,,,42.92022,-9.27127,66
,,,,FI-F31,Fisterra (Outgoing),42.90501,-9.26437,30
