ID,Name,Latitude,Longitude,Elevation
F-F209-1,Alternative Routes,42.80531,-7.61999,347
F-F21,Zabaldica (Zabaldika),42.85597,-1.58192,505
F-F21-1,Iglesia de San Esteban,42.85607,-1.5817,503
F-F210,San Roque,42.79978,-7.6265,390
F-F211,Gonzar,42.82653,-7.69628,552
F-F211-1,Alternative Routes,42.82407,-7.68978,532
F-F212,Castromaior,42.83172,-7.70903,599
F-F212-1,Castro de Castromaior,42.83363,-7.71974,689
F-F213,Hospital da Cruz,42.84077,-7.73404,679
F-F214,Ventas de Narón,42.84429,-7.74826,702
F-F215,Ligonde,42.85892,-7.77983,629
F-F216,Eirexe,42.86469,-7.78668,628
F-F217,Portos,42.87363,-7.807,583
F-F217-1,Iglesia de San Salvador de Vilar de Donas,42.89256,-7.80974,598
F-F218,Lestedo,42.87217,-7.81414,599
F-F218-1,Temple of Santiago,42.87334,-7.81663,609
F-F219,Os Valos,42.87308,-7.8223,633
F-F22,Arleta,42.84776,-1.5871,465
F-F220,Abenostre,42.875,-7.82925,615
F-F221,O Rosario,42.87493,-7.85101,624
F-F221-1,Pilgrim Service Centre,42.87376,-7.85722,610
F-F222,Palas de Rei,42.87423,-7.86865,560
F-F222-1,Igrexa de San Tirso de Palas de Rei,42.87245,-7.86796,564
F-F223,San Xulián do Camiño,42.8745,-7.90356,465
F-F224,Pontecampaña,42.87837,-7.91439,421
F-F225,Casanova,42.87874,-7.92801,478
F-F226,O Coto,42.88474,-7.9584,476
F-F227,Leboreiro,42.88713,-7.96488,451
F-F228,Furelos,42.90906,-7.99918,419
F-F229,Melide,42.91386,-8.01474,454
F-F229-1,Meeting of the Camino Frances and the Camino Primitivo,42.91424,-8.01613,452
F-F23,Trinidad de Arre,42.83408,-1.60576,433
F-F230,Santa María de Melide,42.91142,-8.02537,422
F-F230-1,Alternative Routes,42.91283,-8.03758,427
F-F231,Parabispo,42.91557,-8.05665,457
F-F232,Boente,42.91606,-8.07822,393
F-F232-1,Area de descanso de Peregrinos,42.919093,-8.08778,355
F-F233,Castañeda,42.92481,-8.09732,417
F-F233-1,Alternative Routes,42.9205,-8.0924,396
F-F234,Ribadiso,42.93067,-8.13067,305
F-F235,Arzúa,42.92732,-8.16037,387
F-F235-1,Merging of the Camino del Norte and the Camino Frances,42.9268,-8.16383,383
F-F236,Preguntoño,42.92262,-8.18571,341
F-F237,A Peroxa,42.92668,-8.19499,385
F-F238,Taberna Bella (As Quintas),42.92848,-8.21469,399
F-F239,Calzada,42.92553,-8.22406,388
F-F24,Vilava,42.82814,-1.61288,430
F-F240,A Calle,42.91794,-8.24437,340
F-F241,Salceda,42.92637,-8.28026,362
F-F242,A Brea,42.918836,-8.30528,375
F-F243,Santa Irene,42.91679,-8.33138,377
F-F244,A Rúa,42.91452,-8.35042,281
F-F245,O Pedrouzo (O Pino),42.90726,-8.36406,291
F-F246,Amenal,42.90593,-8.39383,248
F-F247,San Paio,42.90883,-8.42626,337
F-F248,Lavacolla,42.90074,-8.44485,297
F-F249,Vilamaior,42.89142,-8.45085,351
F-F25,Burlada,42.82503,-1.61722,426
F-F250,San Marcos,42.89066,-8.49162,366
F-F251,Monte do Gozo,42.88802,-8.50179,315
F-F251-1,Monument to the Pilgrim,42.88455,-8.49564,349
F-F26,Pamplona,42.81831,-1.645096,445
F-F26-1,Oratorio San Felipe Neri,42.81755,-1.64474,449
F-F27,Cizur Menor,42.78786,-1.67617,466
F-F27-1,Iglesia Sanjuanista,42.78873,-1.67437,463
F-F28,Zariquiegui,42.74826,-1.72271,622
F-F28-1,Alto del Perdón,42.73577,-1.74244,753
F-F29,Cizur Mayor,42.79298,-1.69506,468
F-F3,Orisson,43.10871,-1.23916,805
F-F30,Paternáin,42.78627,-1.74164,436
F-F31,Astrain,42.75644,-1.74087,527
F-F32,Uterga,42.7086,-1.7614,483
F-F33,Muruzábal and Eunate,42.68824,-1.77053,442
F-F34,Obanos,42.67947,-1.78481,416
F-F35,Puente la Reina,42.67373,-1.81045,355
F-F36,Mañeru,42.66896,-1.86208,453
F-F37,Cirauqui,42.67575,-1.89239,491
F-F38,Lorca,42.67224,-1.9458,467
F-F39,Vilatuerta,42.65936,-1.99216,426
F-F4,Arnéguy (por Valcarlos),43.10874,-1.28212,283
F-F40,Estella,42.66889,-2.02993,430
F-F41,Ayegui,42.65856,-2.03788,488
F-F42,Irache,42.64573,-2.05651,572
F-F42-1,The Wine Fountain,42.65087,-2.04362,513
F-F43,Ázqueta,42.63521,-2.08716,583
F-F43-1,Last Water Fountain until Los Arcos,42.61446,-2.1135,567
F-F44,Villamayor de Monjardin,42.62924,-2.10408,681
F-F45,Los Arcos,42.57035,-2.19221,463
F-F45-1,Iglesia de Santa María de Los Arcos,42.56898,-2.19272,450
F-F46,Zarapuz,42.645,-2.01188,433
F-F47,Luquin,42.61227,-2.098,606
F-F48,Sansol,42.55375,-2.26559,485
F-F49,Torres del Rio,42.55204,-2.27123,456
F-F5,Luzaide/Valcarlos,43.09297,-1.30174,372
F-F50,Viana,42.51496,-2.37194,464
F-F50-1,Iglesia de Santa María,42.5151,-2.37135,465
F-F51,Logroño,42.46898,-2.44319,378
F-F51-1,Leisure Area with Drinking Fountain,42.41478,-2.59448,575
F-F52,Navarrete,42.42884,-2.56153,505
F-F53,Sotés,42.39969,-2.60229,664
F-F54,Ventosa,42.4042,-2.62589,643
F-F55,Nájera,42.41755,-2.73342,489
F-F55-1,Monasterio de Santa María la Real,42.41665,-2.73554,500
F-F56,Azofra,42.42384,-2.8,551
F-F57,Cirueña,42.41258,-2.89638,743
F-F58,Santo Domingo de la Calzada,42.44086,-2.95368,640
F-F58-1,Catedral de Santo Domingo de la Calzada,42.44096,-2.95362,639
F-F59,Grañón,42.45034,-3.02754,726
F-F6,Ibañeta,43.02009,-1.32438,1059
F-F60,Redecilla del Camino,42.43832,-3.06477,739
F-F61,Castildelgado,42.4366,-3.08416,769
F-F62,Viloria de Rioja,42.42676,-3.10032,794
F-F63,Villamayor del Rio,42.42729,-3.13681,792
F-F64,Belorado,42.42054,-3.18995,770
F-F65,Toasantos,42.41391,-3.24284,820
F-F66,Villambistia,42.40446,-3.26211,863
F-F67,Espinosa del Camino,42.40551,-3.27956,894
F-F68,Villafranca - Montes de Orca,42.38879,-3.3092,957
F-F68-1,Steep ascent,42.38811,-3.30996,963
F-F69,San Juan de Ortega,42.3757,-3.4366,1006
F-F69-1,Alternative Route,42.37626,-3.44117,1003
F-F69-2,Monasterio de San Juan de Ortega,42.37628,-3.43662,1003
F-F7,Roncesvalles (Orreaga),43.0087,-1.31992,947
F-F7-1,Real Colegiata de Santa Maria de Roncesvalles,43.00999,-1.31948,965
F-F70,Agés,42.36983,-3.478808,966
F-F71,Atapuerca,42.3762,-3.50719,957
F-F72,Villalval,42.36912,-3.55281,948
F-F73,Cardeñuela Riopico,42.3594,-3.55971,940
F-F74,Orbaneja Riopico,42.36013,-3.58468,911
F-F75,Villafria,42.36557,-3.61647,886
F-F76,Gamonal,42.3542,-3.66634,871
F-F77,Santovenia de Oca,42.35695,-3.46137,983
F-F78,Zalduendo,42.34684,-3.48607,993
F-F79,Ibeas de Juarros,42.3317,-3.53633,930
F-F8,Burguete (Auritz),42.98935,-1.33585,891
F-F80,Castañares,42.34346,-3.62634,884
F-F81,Burgos,42.34041,-3.70384,863
F-F81-1,Catedral de Burgos,42.34079,-3.70376,864
F-F81-2,Museo de la Evolución Humana,42.33968,-3.6972,857
F-F82,Tardajos,42.34892,-3.81593,828
F-F83,Rabé de las Calzadas,42.34053,-3.83435,830
F-F83-1,Iglesia de "Santa Marina",42.34049,-3.83476,832
F-F84,Hornillos de Camino,42.33853,-3.92638,824
F-F85,Arroyo San Bol,42.32608,-3.99034,905
F-F86,Hontanas,42.31273,-4.04409,887
F-F87,Castrojeriz,42.28779,-4.13719,809
F-F87-1,Castillo de Castrojeriz,42.29201,-4.13641,885
F-F88,Itero del Castillo (y Puente Fitero),42.27817,-4.24586,765
F-F89,Itero de la Vega,42.28791,-4.25763,771
F-F9,Espinal (Aurizberri),42.97913,-1.36951,874
F-F90,Boadilla del Camino,42.25948,-4.34651,782
F-F91,Frómista,42.26607,-4.40603,779
F-F92,Población de Campos,42.26883,-4.44752,779
F-F92-1,Alternative Route,42.26913,-4.44925,777
F-F93,Revenga de Campos,42.28513,-4.48138,785
F-F94,Villarmentero de Campos,42.2977,-4.49926,789
F-F95,Villovieco,42.29366,-4.48151,785
F-F96,Villalcázar de Sirga,42.31651,-4.54311,806
F-F97,Carrión de los Condes,42.33712,-4.60093,833
F-F97-1,Alternative Route,42.34132,-4.6221,824
F-F98,Calzadilla de la Cueza,42.32924,-4.80436,856
F-F99,Lédigos,42.35367,-4.86529,876
F-F99-1,Alternative Route,42.35367,-4.86529,876
FI-F10,A Chancela,42.90897,-8.72922,171
FI-F11,Negreira,42.90957,-8.7347,158
FI-F12,A Pena,42.93104,-8.80939,351
FI-F13,Vilaserio,42.94291,-8.84989,351
FI-F14,Maroñas,42.96359,-8.91163,321
FI-F15,Santa Mariña,42.95695,-8.91911,330
FI-F16,Vilar do Castro,42.95666,-8.95715,416
FI-F16-1,Alternative Routes,42.95664,-8.95717,417
FI-F17,Lago - Abeleiroas,42.96275,-8.98381,327
FI-F18,San Cristovo de Corzón,42.96193,-9.0044,283
FI-F19,Mallón,42.96144,-9.01666,261
FI-F2,Sarela de Baixo,42.87872,-8.56837,229
FI-F20,Ponte Olveira,42.96252,-9.01851,261
FI-F21,Olveiroa,42.96669,-9.03956,275
FI-F22,A Picota,42.9387,-8.9926,314
FI-F23,Logoso,42.9737,-9.06745,307
FI-F24,Hospital,42.9845,-9.07664,342
FI-F24-1,Alternative Routes (Muxia),42.98626,-9.08587,375
FI-F24-2,Punto de Información ao Peregrino de Hospital (Dumbría),42.98289,-9.07786,346
FI-F25,Camiños Cháns,42.947907,-9.18031,32
FI-F26,Cee,42.95626,-9.19055,8
FI-F27,Corcubión,42.94451,-9.19326,11
FI-F28,O Vilar,42.93778,-9.20152,119
FI-F29,Estorde,42.94391,-9.2179,8
FI-F3,Quintáns,42.88035,-8.58761,155
FI-F30,Sardiñeiro,42.94302,-9.23268,7
FI-F31,Fisterra (Outgoing),42.90501,-9.26437,30
FI-F31-1,Monumento al Peregrino,42.89418,-9.26422,77
FI-F32,Faro de Fisterra,42.88264,-9.27187,87
FI-F32-1,Faro de Fisterra,42.88264,-9.27187,87
FI-F32-2,Bota de Fisterra,42.88193,-9.27212,76
FI-F33,Fisterra (Return),42.90593,-9.26266,20
FI-F33-1,Punto Información,42.90564,-9.26259,19
FI-F33-2,Castelo de San Carlos,42.90461,-9.26082,8
FI-F4,Alto do Vento,42.88098,-8.62415,179
FI-F5,Lombao,42.88642,-8.6325,106
FI-F6,Augapesada,42.88858,-8.65071,59
FI-F7,Trasmonte,42.89324,-8.68286,221
FI-F8,Ponte Maceira,42.90536,-8.69505,160
FI-F9,Barca,42.90565,-8.7156,153
FI-M1,As Carizas,42.9988,-9.10839,213
FI-M10,Os Muiños,43.08356,-9.18947,45
FI-M11,Moraime,43.08517,-9.19982,62
FI-M12,Muxia,43.10561,-9.21746,14
FI-M12-1,Oficina Municipal de Turismo de Muxía,43.10722,-9.21723,15
FI-M13,Morquintián,43.0469,-9.23171,168
FI-M14,Frixe,43.01191,-9.2335,66
FI-M15,Lires,42.99809,-9.24338,43
FI-M15-1,Coastal Route,42.99691,-9.24468,22
FI-M16,A Canosa,42.98688,-9.24798,57
FI-M17,Padris,42.97227,-9.25128,87
FI-M18,Buxán,42.95631,-9.26259,90
FI-M19,San Salvador,42.93346,-9.26924,33
FI-M2,Dumbria,43.00924,-9.11521,200
FI-M20,San Martiño de Duio,42.92022,-9.27127,67
FI-M3,Trasufre,43.02457,-9.14137,145
FI-M4,Senande,43.04199,-9.14857,143
FI-M5,A Grixa,43.04875,-9.153878,127
FI-M6,Quintans,43.08332,-9.15188,90
FI-M7,San Martiño de Ozón,43.08393,-9.16776,72
FI-M8,Vilar de Sobremonte,43.08515,-9.17173,110
FI-M9,Merexo,43.09883,-9.17762,27
I-I1,Ferrol,43.478476,-8.24376,5
I-I1-1,Via Compostellam,43.47863,-8.244054,6
I-I1-2,Museo da Constructión Naval,43.48263,-8.2311,10
I-I10,Ponte do Porco,43.33557,-8.20086,8
I-I11,Porto Abaixo,43.32388,-8.19811,42
I-I12,Betanzos,43.279666,-8.21027,21
I-I13,Xanrozo,43.25502,-8.22868,170
I-I13-1,No shoulder on road,43.24324,-8.22868,118
I-I14,Cos,43.23378,-8.24325,69
I-I14-1,Old route,43.2327,-8.2461,86
I-I15,Meangos,43.22451,-8.25193,114
I-I16,Presedo,43.20418,-8.26297,165
I-I16-1,Mesón-Museo Xente no Camiño,43.2011,-8.26632,169
I-I17,Leiro,43.19341,-8.27473,179
I-I18,Beche,43.183131,-8.30713,287
I-I18-1,Embalse de Beche,43.18235,-8.30711,288
I-I19,As Travesas,43.1697,-8.35077,445
I-I2,Polígono Gándara,43.49382,-8.18834,15
I-I20,Hospital de Bruma,43.15281,-8.36326,395
I-I21,O Castro,43.12643,-8.3793377752829,365
I-I22,A Rúa (Buscás),43.09553,-8.38199,303
