ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,GA-GA24,As Mourás,41.81885,-8.12670,650
GA-GA24,As Mourás,,,,,41.81885,-8.12670,650
,,,,GA-GA25,Os Báños,41.86281,-8.10628,380
GA-GA25,Os Báños,,,,,41.86281,-8.10628,380
,,GA-GA25-1,Aquis Originis,,,41.85657,-8.10719,395
,,GA-GA25-2,Presa Termal,,,41.86258,-8.10654,378
,,,,GA-GA26,Vilameá,41.87191,-8.09979,417
GA-GA26,Vilameá,,,,,41.87191,-8.09979,417
,,GA-GA26-1,Vilameá Cross,,,41.86592,-8.10228,430
,,GA-GA26-2,Devesa Bridge and Mill,,,41.87462,-8.09572,420
,,,,.,,41.87792,-8.09251,464
,,,,.,,41.88373,-8.09218,498
,,,,.,,41.88822,-8.08577,541
,,,,.,,41.89490,-8.08923,451
,,,,GA-GA27,Lobios,41.90175,-8.08412,410
GA-GA27,Lobios,,,,,41.90175,-8.08412,410
,,GA-GA27-1,Pazo das Frascas,,,41.89777,-8.08534,419
,,GA-GA27-2,Wayside Cross,,,41.90158,-8.08423,408
,,GA-GA27-3,Centro de Interpretación del Parque Natural Baixa Limia-Serra do Xurés,,,41.90158,-8.08423,408
,,GA-GA27-4,Rest Area and Drinking Fountain,,,41.90537,-8.08784,398
,,,,GA-GA28,Embalse de Lindoso,41.90954,-8.09267,319
GA-GA28,Embalse de Lindoso,,,,,41.90954,-8.09267,319
,,,,.,,41.91800,-8.09392,443
,,,,GA-GA29,A Feira Velia,41.92067,-8.09943,494
GA-GA29,A Feira Velia,,,,,41.92067,-8.09943,494
,,,,.,,41.92350,-8.10673,454
,,,,GA-GA30,O Casal,41.92421,-8.10835,471
GA-GA30,O Casal,,,,,41.92421,-8.10835,471
,,GA-GA30-1,Peto de Ánimas,,,41.92504,-8.10962,481
,,,,GA-GA31,Entrimo,41.93315,-8.11735,500
GA-GA31,Entrimo,,,,,41.93315,-8.11735,500
,,,,.,,41.93382,-8.12498,525
,,,,GA-GA32,Ferreiros,41.94053,-8.13235,528
GA-GA32,Ferreiros,,,,,41.94053,-8.13235,528
,,GA-GA32-1,Pontella do Folón,,,41.94774,-8.13753,467
,,,,.,,41.94225,-8.13542,496
,,,,.,,41.94774,-8.13733,465
,,,,.,,41.95419,-8.14041,587
,,,,GA-GA33,A Pereira,41.95578,-8.15058,699
GA-GA33,A Pereira,,,,,41.95578,-8.15058,699
,,GA-GA33-1,Granite Landscape of Baixa Limia - Serra do Xurés,,,41.96731,-8.16017,789
,,,,.,,41.96323,-8.16230,790
,,,,GA-GA34,Ameijoeira,41.98479,-8.15787,776
GA-GA34,Ameijoeira,,,,,41.98479,-8.15787,776
,,GA-GA34-1,Portugeuse Border Marker,,,41.98404,-8.15849,766
,,,,.,,41.99050,-8.15906,722
,,,,.,,41.99483,-8.16127,729
,,,,GA-GA35,Ponte da Cava da Velha,42.00316,-8.16406,752
GA-GA35,Ponte da Cava da Velha,,,,,42.00316,-8.16406,752
,,GA-GA35-1,Ponte e Moinhos da Assureira,,,42.00385,-8.16562,756
,,,,GA-GA36,Castro Laboreiro,42.03030,-8.15842,941
GA-GA36,Castro Laboreiro,,,,,42.03030,-8.15842,941
,,GA-GA36-1,Steep Ascent,,,42.01754,-8.16355,785
,,GA-GA36-2,Pelourinho de Castro Laboreiro,,,42.03007,-8.15841,941
,,GA-GA36-3,Castelo de Castro Laboreiroo,,,42.02290,-8.15858,984
,,GA-GA36-4,Dog Sculpture,,,42.02667,-8.15878,958
,,,,.,,42.03353,-8.16277,976
,,,,GA-GA37,Lazer das Vegas,42.04039,-8.16327,952
GA-GA37,Lazer das Vegas,,,,,42.04039,-8.16327,952
,,,,GA-GA38,Portelinha,42.05388,-8.17130,1030
GA-GA38,Portelinha,,,,,42.05388,-8.17130,1030
,,GA-GA38-1,Flood-prone Section,,,42.05997,-8.17629,1002
,,,,.,,42.06613,-8.18278,880
,,,,GA-GA39,Azoreira,42.07146,-8.18357,873
GA-GA39,Azoreira,,,,,42.07146,-8.18357,873
,,GA-GA39-1,Border Marker,,,42.06612,-8.18278,880
,,,,.,,42.07408,-8.18179,857
,,,,.,,42.07355,-8.17934,843
,,,,.,,42.07817,-8.17902,825
,,,,.,,42.08014,-8.17444,800
,,,,.,,42.08175,-8.17732,808
,,,,.,,42.09407,-8.17384,809
,,,,.,,42.10711,-8.16031,663
,,,,GA-GA40,Monterredondo,42.11170,-8.16012,571
GA-GA40,Monterredondo,,,,,42.11170,-8.16012,571
,,GA-GA40-1,Rest Area with Fountain,,,42.10977,-8.16128,591
,,,,GA-GA41,San Amaro,42.13339,-8.16531,433
GA-GA41,San Amaro,,,,,42.13339,-8.16531,433
,,GA-GA41-1,Rest Area with Fountain,,,42.12791,-8.16426,532
,,GA-GA41-2,Capela de San Miguel,,,42.12844,-8.16349,539
,,,,.,,42.13821,-8.16750,439
,,,,.,,42.14616,-8.16101,453
,,,,.,,42.14998,-8.15720,438
,,,,GA-GA42,Igrexa da Portela,42.15177,-8.15952,416
GA-GA42,Igrexa da Portela,,,,,42.15177,-8.15952,416
,,,,.,,42.15256,-8.15805,408
,,,,.,,42.15956,-8.16018,410
,,,,GA-GA43,Igrexa da San Xusto,42.16984,-8.15679,295
GA-GA43,Igrexa da San Xusto,,,,,42.16984,-8.15679,295
,,,,GA-GA44,Trado,42.17637,-8.15468,216
GA-GA44,Trado,,,,,42.17637,-8.15468,216
,,GA-GA44-1,Río Deva,,,42.18156,-8.15701,65
,,,,.,,42.17960,-8.15735,133
,,,,.,,42.18881,-8.15829,162
,,,,.,,42.18622,-8.16315,134
,,,,.,,42.18819,-8.16779,132
,,,,GA-GA45,Vilanova da Barca,42.18430,-8.17040,124
GA-GA45,Vilanova da Barca,,,,,42.18430,-8.17040,124
,,,,.,,42.18590,-8.17532,117
,,,,.,,42.19104,-8.17736,135
,,,,.,,42.19791,-8.17599,108
,,,,.,,42.20059,-8.17285,142
,,,,GA-GA46,Cortegada,42.20802,-8.17002,136
GA-GA46,Cortegada,,,,,42.20802,-8.17002,136
,,GA-GA46-1,Historic Spa,,,42.20231,-8.17436,70
,,,,.,,42.21627,-8.16784,152
,,,,GA-GA47,Rabiño,42.21550,-8.16412,156
GA-GA47,Rabiño,,,,,42.21550,-8.16412,156
,,GA-GA47-1,Peto de Ánimas,,,42.21622,-8.16777,153
,,,,.,,42.21768,-8.15992,200
,,,,.,,42.22000,-8.16112,196
,,,,.,,42.22810,-8.15711,278
,,,,.,,42.23342,-8.15932,215
,,,,GA-GA48,Meréns,42.23379,-8.16465,140
GA-GA48,Meréns,,,,,42.23379,-8.16465,140
,,GA-GA48-1,Pazo do Conde de Meréns,,,42.23326,-8.16380,145
,,GA-GA48-2,Peto de Ánimas,,,42.23317,-8.16374,145
,,,,.,,42.23905,-8.16710,103
,,,,GA-GA49,A Arnoia,42.25592,-8.14732,70
GA-GA49,A Arnoia,,,,,42.25592,-8.14732,70
,,GA-GA49-1,Rest Area,,,42.25598,-8.14733,71
,,,,.,,42.25477,-8.15211,69
,,,,.,,42.26344,-8.15855,69
,,,,GA-GA50,A Reza,42.26903,-8.15592,70
GA-GA50,A Reza,,,,,42.26903,-8.15592,70
,,,,.,,42.28042,-8.13933,66
,,,,GA-GA51,Ribadavia,42.28798,-8.14223,96
GA-GA51,Ribadavia,,,,,42.28798,-8.14223,96
,,GA-GA51-1,Porta Falsa,,,42.28773,-8.14183,92
,,GA-GA51-2,Praza Maior,,,42.28752,-8.14358,102
,,GA-GA51-3,Castelo dos Condes de Sarmiento,,,42.28695,-8.14408,107
,,GA-GA51-4,Museo Etnolóxico,,,42.28872,-8.14226,86
,,,,.,,42.29338,-8.14222,78
,,,,.,,42.30137,-8.13304,77
,,,,GA-GA52,San Cristovo de Regodeigón,42.30964,-8.13414,84
GA-GA52,San Cristovo de Regodeigón,,,,,42.30964,-8.13414,84
,,GA-GA52-1,Peto de Ánimas,,,42.30870,-8.13393,80
,,,,.,,42.32410,-8.12643,140
,,,,GA-GA53,Beade,42.32919,-8.12754,124
GA-GA53,Beade,,,,,42.32919,-8.12754,124
,,GA-GA53-1,Casa Grande de Pateira,,,42.33108,-8.12794,144
,,,,.,,42.34208,-8.14262,156
,,,,GA-GA54,Berán,42.35106,-8.14408,245
GA-GA54,Berán,,,,,42.35106,-8.14408,245
,,GA-GA54-1,Capilla de San Roque y Cruz de los Peregrinos,,,42.35765,-8.14420,309
,,,,.,,42.35498,-8.14721,298
,,,,.,,42.36310,-8.14166,295
,,,,.,,42.37282,-8.14729,284
,,,,GA-GA55,Lebosende,42.37589,-8.13278,217
GA-GA55,Lebosende,,,,,42.37589,-8.13278,217
,,,,.,,42.37898,-8.12798,217
,,,,.,,42.38564,-8.14185,198
,,,,.,,42.38758,-8.14051,146
,,,,.,,42.39545,-8.14342,105
,,,,.,,42.39690,-8.14838,105
,,,,GA-GA56,Pazos de Arenteiro,42.39855,-8.14566,132
GA-GA56,Pazos de Arenteiro,,,,,42.39855,-8.14566,132
,,GA-GA56-1,Ponte da Cruz,,,42.39569,-8.14318,98
,,GA-GA56-2,Historical-Artistic Ensemble,,,42.39856,-8.14507,135
,,GA-GA56-13,Pazo dos Cervela,,,42.39862,-8.14504,136
,,,,.,,42.40085,-8.15128,171
,,,,.,,42.40008,-8.15720,150
,,,,.,,42.40297,-8.16492,112
,,,,GA-GA57,Salón,42.40386,-8.16674,166
GA-GA57,Salón,,,,,42.40386,-8.16674,166
,,GA-GA57-1,Eiroa Fountain,,,42.40556,-8.16683,199
,,,,.,,42.40800,-8.16456,245
,,,,.,,42.40952,-8.17112,326
,,,,GA-GA58,O Igrexario,42.40917,-8.17815,438
GA-GA58,O Igrexario,,,,,42.40917,-8.17815,438
,,,,.,,42.41196,-8.17875,480
,,,,GA-GA59,Distriz,42.41092,-8.18101,518
GA-GA59,Distriz,,,,,42.41092,-8.18101,518
,,,,GA-GA60,Paredes,42.41368,-8.18441,556
GA-GA60,Paredes,,,,,42.41368,-8.18441,556
,,GA-GA60-1,View of thje Albarellos Reservoir,,,42.41339,-8.18447,553
,,,,.,,42.42262,-8.19279,526
,,,,GA-GA61,Vilachá,42.42796,-8.19452,511
GA-GA61,Vilachá,,,,,42.42796,-8.19452,511
,,,,.,,42.43231,-8.19506,505
,,,,.,,42.43950,-8.20656,478
,,,,GA-GA62,Feás,42.44223,-8.21045,502
GA-GA62,Feás,,,,,42.44223,-8.21045,502
,,GA-GA62-1,Café solidario para peregrinos O Camiño,,,42.43942,-8.20662,479
,,GA-GA62-2,Scenic View,,,42.44637,-8.21711,618
,,GA-GA62-3,Amilladoiro,,,42.44658,-8.21807,643
,,GA-GA62-4,Steep Ascent,,,42.44195,-8.21085,508
,,,,.,,42.44087,-8.21330,541
,,,,.,,42.44736,-8.21727,638
,,,,.,,42.45886,-8.22147,678
,,,,.,,42.46133,-8.23163,785
,,,,.,,42.45554,-8.23963,769
,,,,.,,42.46378,-8.24103,691
,,,,.,,42.46293,-8.25163,657
,,,,GA-GA63,Magros,42.46071,-8.25484,618
