ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,.,,42.03524,-6.81424,1339
,,,,SN-SN30,Padornelo,42.03287,-6.83631,1304
SN-SN30,Padornelo,,,,,42.03287,-6.83631,1304
,,SN-SN30-1,Cruz da Portela,,,42.03329,-6.83579,1315
,,,,SN-SN31,Aciberos,42.04026,-6.87594,1124
SN-SN31,Aciberos,,,,,42.04026,-6.87594,1124
,,SN-SN31-1,Mill,,,42.03964,-6.87440,1129
,,,,.,,42.03886,-6.88714,1054
,,,,SN-SN32,Lubián,42.03513,-6.90566,1027
SN-SN32,Lubián,,,,,42.03513,-6.90566,1027
,,SN-SN32-1,Lavadero de Lubián,,,42.03460,-6.90653,1030
,,,,.,,42.03208,-6.92132,940
,,,,SN-SN33,Santuario de la Tuiza,42.03115,-6.92531,954
SN-SN33,Santuario de la Tuiza,,,,,42.03115,-6.92531,954
,,,,.,,42.03220,-6.93107,957
,,,,.,,42.03252,-6.95193,1106
,,,,SN-SN34,Portela da Canda,42.03402,-6.96487,1251
SN-SN34,Portela da Canda,,,,,42.03402,-6.96487,1251
,,SN-SN34-1,Sculpture by Nicanor Carbello,,,42.03345,-6.96486,1255
,,,,SN-SN35,A Canda,42.03506,-6.98016,1160
SN-SN35,A Canda,,,,,42.03506,-6.98016,1160
,,,,.,,42.03617,-6.99474,1094
,,,,SN-SN36,A Vilavella,42.03670,-7.01462,1042
SN-SN36,A Vilavella,,,,,42.03670,-7.01462,1042
,,,,SN-SN37,O Pereiro,42.03093,-7.05243,952
SN-SN37,O Pereiro,,,,,42.03093,-7.05243,952
,,,,SN-SN38,O Canizo,42.05099,-7.10198,1056
SN-SN38,O Canizo,,,,,42.05099,-7.10198,1056
,,,,SN-SN39,A Gudina,42.06104,-7.14105,979
SN-SN39,A Gudina,,,,,42.06104,-7.14105,979
,,,,SN-SN40,A Venda do Espiño,42.07360,-7.18365,1078
SN-SN40,A Venda do Espiño,,,,,42.07360,-7.18365,1078
,,SN-SN40-1,Alto do Espiño,,,42.07338,-7.17821,1084
,,,,SN-SN41,A Venda da Teresa,42.07676,-7.21252,1053
SN-SN41,A Venda da Teresa,,,,,42.07676,-7.21252,1053
,,SN-SN40-1,Monte da Pereisada,,,42.12776,-7.25142,--
,,,,.,,42.07950,-7.22047,1063
,,,,SN-SN42,A Venda da Capela,42.07037,-7.23125,1010
SN-SN42,A Venda da Capela,,,,,42.07037,-7.23125,1010
,,,,.,,42.06692,-7.25759,1094
,,,,SN-SN43,Venda do Bolaño,42.06614,-7.26658,1079
SN-SN43,Venda do Bolaño,,,,,42.06614,-7.26658,1079
,,,,SN-SN44,Campobecerros,42.06700,-7.33092,893
SN-SN44,Campobecerros,,,,,42.06700,-7.33092,893
,,,,.,,42.07160,-7.34444,990
,,,,SN-SN45,Portocamba,42.06950,-7.36382,940
SN-SN45,Portocamba,,,,,42.06950,-7.36382,940
,,SN-SN45-1,Cruz do Milladorio,,,42.06844,-7.37338,991
,,,,.,,42.06740,-7.38054,1006
,,,,SN-SN46,Eiras,42.06200,-7.40816,763
SN-SN46,Eiras,,,,,42.06200,-7.40816,763
,,SN-SN46-1,Ultreia Support Point,,,42.06193,-7.40760,763
,,SN-SN46-2,Rest Area,,,42.06174,-7.40889,762
,,,,SN-SN47,Laza,42.06090,-7.46012,473
SN-SN47,Laza,,,,,42.06090,-7.46012,473
,,SN-SN47-1,Laza Tourist Information Office,,,42.06112,-7.45994,473
,,,,SN-SN48,Soutelo Verde,42.07640,-7.49704,496
SN-SN48,Soutelo Verde,,,,,42.07640,-7.49704,496
,,,,SN-SN49,Tamicelas,42.09853,-7.50671,536
SN-SN49,Tamicelas,,,,,42.09853,-7.50671,536
,,SN-SN49-1,Praia fluvial de Tamicelas,,,42.09877,-7.50516,528
,,,,.,,42.11444,-7.54273,914
,,,,SN-SN50,A Alberguería,42.12199,-7.55144,899
SN-SN50,A Alberguería,,,,,42.12199,-7.55144,899
,,SN-SN50-1,Cruz do Alto do Talariño,,,42.13729,-7.57790,964
,,,,.,,42.13704,-7.57816,963
,,,,SN-SN51,Vilar de Barrio,42.16052,-7.61057,666
SN-SN51,Vilar de Barrio,,,,,42.16052,-7.61057,666
,,,,SN-SN52,Bóveda,42.16346,-7.63597,647
SN-SN52,Bóveda,,,,,42.16346,-7.63597,647
,,,,.,,42.16299,-7.64150,666
,,,,SN-SN53,Vilar de Gomareite,42.16472,-7.64515,645
SN-SN53,Vilar de Gomareite,,,,,42.16472,-7.64515,645
,,,,.,,42.17049,-7.68181,624
,,,,SN-SN54,Bobadela a Pinta,42.17886,-7.69113,665
SN-SN54,Bobadela a Pinta,,,,,42.17886,-7.69113,665
,,,,SN-SN55,Padroso,42.18194,-7.70328,688
SN-SN55,Padroso,,,,,42.18194,-7.70328,688
,,,,SN-SN56,Cima de Vila,42.18555,-7.71850,678
SN-SN56,Cima de Vila,,,,,42.18555,-7.71850,678
,,,,SN-SN57,Quntela,42.19528,-7.72844,599
SN-SN57,Quntela,,,,,42.19528,-7.72844,599
,,,,SN-SN58,Xunqueira de Ambía,42.20475,-7.73544,542
SN-SN58,Xunqueira de Ambía,,,,,42.20475,-7.73544,542
,,SN-SN58-1,Xunqueira de Ambía Tourist Information Office,,,42.20447,-7.73481,539
,,SN-SN58-2,Colexiata de Santa María,,,42.20437,-7.73510,540
,,,,.,,42.21131,-7.73908,461
,,,,SN-SN59,San Xillao,42.21551,-7.73908,505
SN-SN59,San Xillao,,,,,42.21551,-7.73908,505
,,,,SN-SN60,Outorelo,42.22360,-7.74749,542
SN-SN60,Outorelo,,,,,42.22360,-7.74749,542
,,,,SN-SN61,A Pousa,42.22605,-7.75035,552
SN-SN61,A Pousa,,,,,42.22605,-7.75035,552
,,,,SN-SN62,Salgueiros,42.23886,-7.74513,513
SN-SN62,Salgueiros,,,,,42.23886,-7.74513,513
,,,,SN-SN63,Gaspar,42.24576,-7.74774,483
SN-SN63,Gaspar,,,,,42.24576,-7.74774,483
,,,,SN-SN64,A Beirada,42.25086,-7.75293,467
SN-SN64,A Beirada,,,,,42.25086,-7.75293,467
,,,,SN-SN65,Ousende,42.25341,-7.76190,413
SN-SN65,Ousende,,,,,42.25341,-7.76190,413
,,,,SN-SN66,Penelas,42.25650,-7.77073,389
SN-SN66,Penelas,,,,,42.25650,-7.77073,389
,,,,SN-SN67,A Venda do Río,42.26504,-7.79379,345
SN-SN67,A Venda do Río,,,,,42.26504,-7.79379,345
,,,,SN-SN68,Pereiras,42.26501,-7.79924,350
SN-SN68,Pereiras,,,,,42.26501,-7.79924,350
,,,,SN-SN69,A Castellana,42.27740,-7.81583,313
SN-SN69,A Castellana,,,,,42.27740,-7.81583,313
,,,,SN-SN70,Polígono industrial de San Cibrao Das Viñas,42.28482,-7.82296,290
SN-SN70,Polígono industrial de San Cibrao Das Viñas,,,,,42.28482,-7.82296,290
,,,,SN-SN71,Reboredo,42.29013,-7.83417,274
SN-SN71,Reboredo,,,,,42.29013,-7.83417,274
,,,,SN-SN72,Alto do Cumial,42.29424,-7.84064,307
SN-SN72,Alto do Cumial,,,,,42.29424,-7.84064,307
,,SN-SN72-1,Cruceiro Alto do Cumial,,,42.29433,-7.84107,308
,,,,SN-SN73,Seixalbo,42.30569,-7.85588,195
SN-SN73,Seixalbo,,,,,42.30569,-7.85588,195
,,SN-SN73-1,A Fontenova,,,42.30829,-7.85570,182
,,,,SN-SN74,Ourense,42.33598,-7.86432,135
SN-SN74,Ourense,,,,,42.33598,-7.86432,135
,,SN-SN74-1,Claustro de San Francisco,,,42.33724,-7.86048,180
,,SN-SN74-2,Catedral de San Martiño de Ourense,,,42.33682,-7.86304,148
,,SN-SN74-3,Igrexa da Santa Eufemia,,,42.33667,-7.86487,135
,,SN-SN74-4,Plaza Mayor,,,42.33573,-7.86390,135
,,SN-SN74-5,As Burgas,,,42.33474,-7.86529,120
,,SN-SN74-6,Ponte Vella,,,42.34580,-7.86884,97
,,,,.,,42.34527,-7.86879,94
,,,,.,,42.34977,-7.86664,134
,,,,SN-SN75,Soutelo,42.36577,-7.86191,194
,,,,.,,42.34411,-7.86889,107
,,,,.,,42.34963,-7.87211,133
,,,,.,,42.35551,-7.88160,130
,,,,.,,42.35580,-7.89180,110
,,,,SN-RQ1,Quintela,42.35579,-7.90621,127
SN-SN75,Soutelo,,,,,42.36577,-7.86191,194
,,SN-SN75-1,Pazo de Ribadeneira,,,42.36568,-7.86199,192
,,,,SN-SN76,Cudeiro,42.36822,-7.86067,230
SN-SN76,Cudeiro,,,,,42.36822,-7.86067,230
,,,,SN-SN77,A Costa,42.37184,-7.86021,305
SN-SN77,A Costa,,,,,42.37184,-7.86021,305
,,SN-SN77-1,View over Ourense,,,42.37134,-7.85977,302
,,,,SN-SN78,Povoadura,42.37800,-7.86292,380
SN-SN78,Povoadura,,,,,42.37800,-7.86292,380
,,,,SN-SN79,Sartédigos,42.38733,-7.87026,424
SN-SN79,Sartédigos,,,,,42.38733,-7.87026,424
,,SN-SN79-1,Fonte do Santo,,,42.39251,-7.87269,428
,,,,SN-SN80,Venda Nova,42.39779,-7.87413,474
SN-SN80,Venda Nova,,,,,42.39779,-7.87413,474
,,SN-SN80-1,Natural,,,42.39816,-7.87367,482
,,,,SN-SN81,Bóveda,42.41036,-7.88200,480
SN-SN81,Bóveda,,,,,42.41036,-7.88200,480
,,,,.,,42.41951,-7.88923,421
,,,,.,,42.42445,-7.89524,418
,,,,SN-SN82,Tamallancos,42.42670,-7.90143,442
SN-SN82,Tamallancos,,,,,42.42670,-7.90143,442
,,SN-SN82-1,Pazo de Tamallancos,,,42.42735,-7.90040,442
,,,,SN-SN83,Bouzas,42.43184,-7.90738,451
SN-SN83,Bouzas,,,,,42.43184,-7.90738,451
,,SN-SN83-1,Lavoir,,,42.43304,-7.90882,447
,,,,.,,42.43581,-7.91286,427
,,,,.,,42.44113,-7.91947,438
,,,,SN-SN84,Sobreira,42.44382,-7.92654,420
SN-SN84,Sobreira,,,,,42.44382,-7.92654,420
,,SN-SN84-1,Wayside Shrine,,,42.44408,-7.92673,419
,,SN-SN84-2,Ponte medieval da Sobreira,,,42.44902,-7.93387,375
,,SN-SN84-3,Hórreo,,,42.44942,-7.93358,375
,,,,.,,42.44654,-7.93147,385
,,,,.,,42.45208,-7.93498,383
,,,,SN-SN85,Faramontaos,42.45439,-7.93393,402
SN-SN85,Faramontaos,,,,,42.45439,-7.93393,402
,,,,SN-SN86,A Ermida,42.45672,-7.94052,452
SN-SN86,A Ermida,,,,,42.45672,-7.94052,452
,,,,SN-SN87,Viduedo,42.45698,-7.95018,476
SN-SN87,Viduedo,,,,,42.45698,-7.95018,476
,,SN-SN87-1,Palace,,,42.45611,-7.94905,471
,,SN-SN87-2,Wayside Shrine,,,42.45735,-7.95079,478
,,,,.,,42.45965,-7.95829,462
,,,,.,,42.46200,-7.96143,467
,,,,SN-SN88,Casa Novas,42.46408,-7.97331,497
SN-SN88,Casa Novas,,,,,42.46408,-7.97331,497
,,,,SN-SN89,Cea,42.47357,-7.98661,514
SN-SN89,Cea,,,,,42.47357,-7.98661,514
,,SN-SN89-1,Cross of Paramios,,,42.46899,-7.98089,513
,,SN-SN89-2,Torre do Reloxo,,,42.47507,-7.98490,528
,,,,.,,42.47576,-7.98718,524
,,,,SN-SN90,Porto do Souto,42.48235,-7.98996,512
,,,,.,,42.48388,-7.97772,570
,,,,.,,42.48897,-7.97402,583
,,,,.,,42.49566,-7.96686,608
,,,,.,,42.50351,-7.96438,622
,,,,SN-RO1,Silvaboa,42.50604,-7.96486,631
SN-SN90,Porto do Souto,,,,,42.48235,-7.98996,512
,,,,SN-SN91,Cotelas,42.48951,-7.99412,540
SN-SN91,Cotelas,,,,,42.48951,-7.99412,540
,,,,SN-SN92,Mirela,42.49127,-7.99767,516
SN-SN92,Mirela,,,,,42.49127,-7.99767,516
,,,,.,,42.49287,-7.99779,492
,,,,SN-SN93,Piñor,42.49978,-8.00748,569
SN-SN93,Piñor,,,,,42.49978,-8.00748,569
,,,,SN-SN94,Albarona,42.50073,-8.00860,572
SN-SN94,Albarona,,,,,42.50073,-8.00860,572
,,,,SN-SN95,Fontelo,42.50316,-8.00915,577
SN-SN95,Fontelo,,,,,42.50316,-8.00915,577
,,,,SN-SN96,Arenteiro,42.51035,-8.00796,579
SN-SN96,Arenteiro,,,,,42.51035,-8.00796,579
,,,,SN-SN97,A Ponte,42.51744,-8.00912,539
SN-SN97,A Ponte,,,,,42.51744,-8.00912,539
,,,,SN-SN98,O Reino,42.51956,-8.01130,587
SN-SN98,O Reino,,,,,42.51956,-8.01130,587
,,,,SN-SN99,Carballeda,42.52837,-8.01102,635
SN-SN99,Carballeda,,,,,42.52837,-8.01102,635
,,SN-SN99-1,Wayside Shrine,,,42.52965,-8.01010,639
,,,,.,,42.53884,-8.01643,688
,,,,.,,42.54439,-8.02463,736
,,,,.,,42.54794,-8.03444,813
,,,,.,,42.56023,-8.04329,846
,,,,SN-SN100,O Castro,42.56814,-8.04769,736
SN-SN100,O Castro,,,,,42.56814,-8.04769,736
,,SN-SN100-1,Cross,,,42.57054,-8.04831,743
,,,,.,,42.57573,-8.06037,698
,,,,.,,42.58228,-8.06132,712
,,,,SN-SN101,Santo Domingo,42.58893,-8.06799,687
SN-SN101,Santo Domingo,,,,,42.58893,-8.06799,687
,,,,.,,42.59483,-8.07365,679
,,,,.,,42.59966,-8.07785,708
,,,,SN-SN102,Puxallos,42.60575,-8.08358,658
SN-SN102,Puxallos,,,,,42.60575,-8.08358,658
,,,,.,,42.60745,-8.10028,555
,,,,SN-SN103,Pontenoufe,42.61128,-8.10485,501
SN-SN103,Pontenoufe,,,,,42.61128,-8.10485,501
,,SN-SN103-1,Ponte histórica de Pontenoufe,,,42.61253,-8.10595,484
,,,,SN-SN104,A Xesta,42.61725,-8.11524,573
SN-SN104,A Xesta,,,,,42.61725,-8.11524,573
,,SN-SN104-1,Fonte do peregrino,,,42.61749,-8.11551,575
,,SN-SN104-2,Cross,,,42.61757,-8.11588,577
,,,,SN-SN105,Medelo,42.62435,-8.12558,549
SN-SN105,Medelo,,,,,42.62435,-8.12558,549
,,,,SN-SN106,Estación de Lalin,42.63349,-8.13898,483
SN-SN106,Estación de Lalin,,,,,42.63349,-8.13898,483
,,,,.,,42.63385,-8.14050,470
,,,,SN-SN107,Baxán,42.63739,-8.14174,485
SN-SN107,Baxán,,,,,42.63739,-8.14174,485
,,,,.,,42.64193,-8.14249,534
,,,,SN-SN108,Botos,42.64501,-8.14510,527
SN-SN108,Botos,,,,,42.64501,-8.14510,527
,,,,.,,42.65227,-8.14679,565
,,,,SN-SN109,A Eirexe,42.66081,-8.15272,526
SN-SN109,A Eirexe,,,,,42.66081,-8.15272,526
,,SN-SN109-1,Cross,,,42.66043,-8.15329,527
,,,,SN-SN110,O Campo,42.66386,-8.15319,511
SN-SN110,O Campo,,,,,42.66386,-8.15319,511
,,SN-SN110-1,Carballeira,,,42.66582,-8.15447,500
,,,,.,,42.66972,-8.15722,455
,,,,.,,42.67218,-8.15897,476
,,,,SN-SN111,Placeholder for SN-SN111,0.00000,0.00000,--
SN-RQ1,Quintela,,,,,42.35579,-7.90621,127
,,,,.,,42.35749,-7.91090,147
,,,,.,,42.36154,-7.91340,123
,,,,SN-RQ2,Cachaxuas,42.36338,-7.91395,149
SN-RQ2,Cachaxuas,,,,,42.36338,-7.91395,149
,,SN-RQ2-1,Costiña de Canedo,,,42.36559,-7.91325,181
,,,,SN-RQ3,Cima da Costra,42.38040,-7.91203,402
SN-RQ3,Cima da Costra,,,,,42.38040,-7.91203,402
,,SN-RQ3-1,Commemorative Plaque,,,42.38059,-7.91221,403
,,,,SN-RQ4,Liñares,42.39658,-7.92178,401
SN-RQ4,Liñares,,,,,42.39658,-7.92178,401
,,,,.,,42.40279,-7.92557,379
,,,,SN-RQ5,O Reguengo,42.40845,-7.92927,398
SN-RQ5,O Reguengo,,,,,42.40845,-7.92927,398
,,,,.,,42.41438,-7.93347,430
,,,,.,,42.42660,-7.94160,391
,,,,SN-RQ6,Ponte Mandrás,42.43326,-7.95130,357
SN-RQ6,Ponte Mandrás,,,,,42.43326,-7.95130,357
,,SN-RQ6-1,Ponte Mandrás,,,42.43277,-7.95018,349
,,SN-RQ6-2,Rocky Surface,,,42.42581,-7.94261,392
,,,,SN-RQ7,Mandrás,42.43461,-7.95458,386
SN-RQ7,Mandrás,,,,,42.43461,-7.95458,386
,,,,.,,42.44569,-7.95961,395
,,,,.,,42.44890,-7.96021,417
,,,,.,,42.45207,-7.96641,442
,,,,SN-RQ8,Pulledo,42.45319,-7.96843,447
SN-RQ8,Pulledo,,,,,42.45319,-7.96843,447
,,,,SN-SN88,Casa Novas,42.46408,-7.97331,497
SN-RO1,Silvaboa,,,,,42.50604,-7.96486,631
,,,,.,,42.51300,-7.96134,695
,,,,SN-RO2,Pielas,42.51887,-7.96286,674
SN-RO2,Pielas,,,,,42.51887,-7.96286,674
,,,,SN-RO3,A Ventela,42.52944,-7.95752,669
SN-RO3,A Ventela,,,,,42.52944,-7.95752,669
,,,,.,,42.53661,-7.95065,647
,,,,SN-RO4,Oseira,42.53933,-7.95186,666
SN-RO4,Oseira,,,,,42.53933,-7.95186,666
,,SN-RO4-1,Mosteiro de Oseira,,,42.53901,-7.95080,656
,,SN-RO4-2,Fountain,,,42.53244,-7.95517,671
,,SN-RO4-3,Miradoiro Val de Oseira,,,42.54053,-7.95236,691
,,,,.,,42.54283,-7.96281,818
,,,,SN-RO5,Vilarello,42.54567,-7.96911,771
SN-RO5,Vilarello,,,,,42.54567,-7.96911,771
,,,,.,,42.54474,-7.97370,732
,,,,.,,42.54591,-7.97566,701
,,,,.,,42.54715,-7.97715,724
,,,,SN-RO6,Carballediña,42.54871,-7.98202,684
SN-RO6,Carballediña,,,,,42.54871,-7.98202,684
,,SN-RO6-1,Asociación de ayuda al peregrino en el camino,,,42.54828,-7.98172,683
,,SN-RO6-2,Fountain,,,42.54838,-7.98178,683
,,,,.,,42.54940,-7.98342,670
,,,,.,,42.54947,-7.99033,698
,,,,SN-RO7,Outeiro de Coras,42.54825,-7.99157,688
SN-RO7,Outeiro de Coras,,,,,42.54825,-7.99157,688
,,,,SN-RO8,A Gouxa,42.55748,-8.00899,776
SN-RO8,A Gouxa,,,,,42.55748,-8.00899,776
,,,,.,,42.55909,-8.01194,755
,,,,SN-RO9,Bidueiros,42.55971,-8.02002,767
SN-RO9,Bidueiros,,,,,42.55971,-8.02002,767
,,,,.,,42.55850,-8.03630,834
,,,,SN-SN100,O Castro,42.56814,-8.04769,736
